"","ID","ProvinsiID","NamaProvinsi","Budidaya","NamaIkan","Tahun","Volume","Nilai","IkanID","latitude","longitude"
"1",1,11,"Aceh","semua budidaya","total",2003,33877,630367421,0,4.695135,96.7493993
"2",2,12,"Sumatera Utara","semua budidaya","total",2003,44187,1111788600,0,2.1153547,99.5450974
"3",3,13,"Sumatera Barat","semua budidaya","total",2003,30690,254598817,0,-0.7399397,100.8000051
"4",4,14,"Riau","semua budidaya","total",2003,36393,1151401938,0,0.2933469,101.7068294
"5",5,15,"Jambi","semua budidaya","total",2003,9358,115366599,0,-1.4851831,102.4380581
"6",6,16,"Sumatera Selatan","semua budidaya","total",2003,42504,708397850,0,-3.3194374,103.914399
"7",7,17,"Bengkulu","semua budidaya","total",2003,8141,98317816,0,-3.5778471,102.3463875
"8",8,18,"Lampung","semua budidaya","total",2003,55150,1752674954,0,-4.5585849,105.4068079
"9",9,19,"Kepulauan Bangka Belitung","semua budidaya","total",2003,776,15153921,0,-2.7410513,106.4405872
"10",10,21,"Kepulauan Riau","semua budidaya","total",2003,0,0,0,3.9456514,108.1428669
"11",11,31,"DKI Jakarta","semua budidaya","total",2003,6227,35805574,0,-6.211544,106.845172
"12",12,32,"Jawa Barat","semua budidaya","total",2003,230523,4214147418,0,-7.090911,107.668887
"13",13,33,"Jawa Tengah","semua budidaya","total",2003,97660,881230486,0,-7.150975,110.1402594
"14",14,34,"DI Yogyakarta","semua budidaya","total",2003,7599,45385514,0,-7.8753849,110.4262088
"15",15,35,"Jawa Timur","semua budidaya","total",2003,144669,1290084621,0,-7.5360639,112.2384017
"16",16,36,"Banten","semua budidaya","total",2003,28568,220494511,0,-6.4058172,106.0640179
"17",17,51,"Bali","semua budidaya","total",2003,114633,116766786,0,-8.4095178,115.188916
"18",18,52,"Nusa Tenggara Barat","semua budidaya","total",2003,48692,619157435,0,-8.6529334,117.3616476
"19",19,53,"Nusa Tenggara Timur","semua budidaya","total",2003,14412,64628705,0,-8.6573819,121.0793705
"20",20,61,"Kalimantan Barat","semua budidaya","total",2003,3917,75014136,0,-0.2787808,111.4752851
"21",21,62,"Kalimantan Tengah","semua budidaya","total",2003,4215,126219728,0,-1.6814878,113.3823545
"22",22,63,"Kalimantan Selatan","semua budidaya","total",2003,9517,166811116,0,-3.0926415,115.2837585
"23",23,64,"Kalimantan Timur","semua budidaya","total",2003,20981,512327430,0,1.6406296,116.419389
"24",24,71,"Sulawesi Utara","semua budidaya","total",2003,23521,105175961,0,0.6246932,123.9750018
"25",25,72,"Sulawesi Tengah","semua budidaya","total",2003,40492,103020192,0,-1.4300254,121.4456179
"26",26,73,"Sulawesi Selatan","semua budidaya","total",2003,135062,1299981816,0,-3.6687994,119.9740534
"27",27,74,"Sulawesi Tenggara","semua budidaya","total",2003,23150,163592539,0,-4.14491,122.174605
"28",28,75,"Gorontalo","semua budidaya","total",2003,6274,17342769,0,0.6999372,122.4467238
"29",29,76,"Sulawesi Barat","semua budidaya","total",2003,0,0,0,-2.8441371,119.2320784
"30",30,81,"Maluku","semua budidaya","total",2003,105,1392350,0,-3.2384616,130.1452734
"31",31,82,"Maluku Utara","semua budidaya","total",2003,119,110214750,0,1.5709993,127.8087693
"32",32,91,"Papua Barat","semua budidaya","total",2003,0,0,0,-1.3361154,133.1747162
"33",33,94,"Papua","semua budidaya","total",2003,2780,15470388,0,-4.269928,138.0803529
"34",34,11,"Aceh","semua budidaya","total",2004,35525,684616819,0,4.695135,96.7493993
"35",35,12,"Sumatera Utara","semua budidaya","total",2004,41640,1099701102,0,2.1153547,99.5450974
"36",36,13,"Sumatera Barat","semua budidaya","total",2004,37414,317587449,0,-0.7399397,100.8000051
"37",37,14,"Riau","semua budidaya","total",2004,35622,780033800,0,0.2933469,101.7068294
"38",38,15,"Jambi","semua budidaya","total",2004,10205,132692469,0,-1.4851831,102.4380581
"39",39,16,"Sumatera Selatan","semua budidaya","total",2004,24735,946103059,0,-3.3194374,103.914399
"40",40,17,"Bengkulu","semua budidaya","total",2004,7152,92910250,0,-3.5778471,102.3463875
"41",41,18,"Lampung","semua budidaya","total",2004,89284,2680425920,0,-4.5585849,105.4068079
"42",42,19,"Kepulauan Bangka Belitung","semua budidaya","total",2004,791,14929397,0,-2.7410513,106.4405872
"43",43,21,"Kepulauan Riau","semua budidaya","total",2004,0,0,0,3.9456514,108.1428669
"44",44,31,"DKI Jakarta","semua budidaya","total",2004,3778,41427711,0,-6.211544,106.845172
"45",45,32,"Jawa Barat","semua budidaya","total",2004,264630,2890802774,0,-7.090911,107.668887
"46",46,33,"Jawa Tengah","semua budidaya","total",2004,81718,1112302943,0,-7.150975,110.1402594
"47",47,34,"DI Yogyakarta","semua budidaya","total",2004,6220,59439524,0,-7.8753849,110.4262088
"48",48,35,"Jawa Timur","semua budidaya","total",2004,153865,2093218893,0,-7.5360639,112.2384017
"49",49,36,"Banten","semua budidaya","total",2004,22370,261388883,0,-6.4058172,106.0640179
"50",50,51,"Bali","semua budidaya","total",2004,160685,1060739775,0,-8.4095178,115.188916
